Text,Annotator_1,Annotator_2,Annotator_3
The movie was fantastic! I loved it.,Neutral,Neutral,Positive
Terrible service and rude staff.,Positive,Neutral,Positive
"It was okay, not the best but not the worst.",Neutral,Positive,Negative
"Amazing experience, will come again.",Neutral,Neutral,Negative
The product broke after one use.,Positive,Negative,Positive
Superb quality and fast delivery.,Positive,Positive,Positive
I wouldn’t recommend this to anyone.,Neutral,Negative,Positive
Decent price for the value.,Negative,Negative,Neutral
Completely satisfied with my purchase.,Neutral,Negative,Neutral
Not worth the money.,Neutral,Negative,Neutral
